Order_ID,Date,City,Vehicle_Type,Weather_Condition,Distance_km,Estimated_Time_min,Actual_Time_min,Delivery_Cost,Customer_Rating,Delivery_Delay,Delivery_Efficiency,Delivery_Cost_Efficiency,Distance by bins
ORD10111,02-13-2026,Bengaluru,EV Scooter,RAINY,4.60,28,53,96,1,25,LONG DELAY,20.87,0-5 km
ORD10112,01-05-2026,Mumbai,Bicycle,TRAFFIC,10.50,52,77,155,1,25,LONG DELAY,14.76,10+ km
ORD10113,02-09-2026,Bengaluru,Bicycle,CLEAR,5.90,33,30,59,4,-3,ON TIME,10.00,5-10 km
ORD10114,02-13-2026,Delhi,EV Scooter,TRAFFIC,7.50,40,36,75,4,-4,ON TIME,10.00,5-10 km
ORD10115,10-09-2025,Mumbai,EV Scooter,RAINY,14.80,69,91,198,1,22,LONG DELAY,13.38,10+ km
ORD10116,01-13-2026,Bengaluru,Petrol Bike,RAINY,13.90,65,92,189,1,27,LONG DELAY,13.60,10+ km
ORD10117,09-17-2025,Mumbai,Bicycle,TRAFFIC,5.00,30,29,50,4,-1,ON TIME,10.00,0-5 km
ORD10118,02-15-2026,Mumbai,EV Scooter,CLEAR,5.30,31,38,53,4,7,SLIGHT DELAY,10.00,5-10 km
ORD10119,02-23-2026,Bengaluru,Bicycle,TRAFFIC,8.10,42,57,81,4,15,SLIGHT DELAY,10.00,5-10 km
ORD10120,20-10-2025,Bengaluru,EV Scooter,CLEAR,5.10,30,28,51,4,-2,ON TIME,10.00,5-10 km
ORD10121,06-02-2026,Mumbai,EV Scooter,RAINY,NULL,24,66,85,1,42,LONG DELAY,NULL,Unknown
ORD10122,12-03-2025,Bengaluru,Petrol Bike,RAINY,11.50,56,85,165,2,29,LONG DELAY,14.35,10+ km
ORD10123,02-21-2026,Mumbai,Petrol Bike,RAINY,11.90,57,85,169,1,28,LONG DELAY,14.20,10+ km
ORD10124,01-02-2026,Mumbai,EV Scooter,CLEAR,5.00,30,30,50,4,0,ON TIME,10.00,0-5 km
ORD10125,10-27-2025,Bengaluru,EV Scooter,TRAFFIC,1.70,16,22,17,5,6,SLIGHT DELAY,10.00,0-5 km
ORD10126,09-26-2025,Delhi,Petrol Bike,RAINY,2.90,21,25,29,4,4,SLIGHT DELAY,10.00,0-5 km
ORD10127,05-02-2026,Bengaluru,EV Scooter,RAINY,4.00,26,50,90,2,24,LONG DELAY,22.50,0-5 km
ORD10128,17-11-2025,Bengaluru,Petrol Bike,TRAFFIC,1.90,17,27,19,4,10,SLIGHT DELAY,10.00,0-5 km
ORD10129,09-01-2025,Bengaluru,Bicycle,TRAFFIC,3.60,24,21,36,4,-3,ON TIME,10.00,0-5 km
ORD10130,02-10-2026,Bengaluru,Petrol Bike,CLEAR,6.00,34,31,60,4,-3,ON TIME,10.00,5-10 km
ORD10131,25-11-2025,Bengaluru,Bicycle,RAINY,12.40,59,79,174,2,20,LONG DELAY,14.03,10+ km
ORD10132,09-17-2025,Mumbai,EV Scooter,RAINY,3.80,25,70,88,2,45,LONG DELAY,23.16,0-5 km
ORD10133,01-18-2026,Bengaluru,Bicycle,RAINY,5.00,30,26,50,4,-4,ON TIME,10.00,0-5 km
ORD10134,12-12-2025,Mumbai,Petrol Bike,RAINY,7.90,41,51,79,5,10,SLIGHT DELAY,10.00,5-10 km
ORD10135,09-21-2025,Delhi,EV Scooter,RAINY,5.50,32,54,105,2,22,LONG DELAY,19.09,5-10 km
ORD10136,02-24-2026,Mumbai,EV Scooter,RAINY,9.60,48,81,146,NULL,33,LONG DELAY,15.21,5-10 km
ORD10137,12-03-2025,Delhi,Bicycle,RAINY,14.30,67,86,193,NULL,19,LONG DELAY,13.50,10+ km
ORD10138,02-13-2026,Mumbai,Bicycle,CLEAR,9.50,48,77,145,1,29,LONG DELAY,15.26,5-10 km
ORD10139,12-11-2025,Bengaluru,EV Scooter,CLEAR,1.40,15,15,14,4,0,ON TIME,10.00,0-5 km
ORD10140,24-12-2025,Mumbai,Petrol Bike,TRAFFIC,3.80,25,24,38,5,-1,ON TIME,10.00,0-5 km
ORD10141,11-21-2025,Delhi,EV Scooter,RAINY,13.50,64,89,185,1,25,LONG DELAY,13.70,10+ km
ORD10142,10-02-2025,Delhi,EV Scooter,RAINY,12.10,58,78,171,2,20,LONG DELAY,14.13,10+ km
ORD10143,02-04-2026,Bengaluru,Petrol Bike,TRAFFIC,15.00,70,100,200,1,30,LONG DELAY,13.33,10+ km
ORD10144,09-19-2025,Delhi,Bicycle,RAINY,2.80,21,21,28,4,0,ON TIME,10.00,0-5 km
ORD10145,17-11-2025,Bengaluru,Bicycle,RAINY,5.80,33,37,58,5,4,SLIGHT DELAY,10.00,5-10 km
ORD10146,15-01-2026,Delhi,EV Scooter,RAINY,NULL,23,62,84,1,39,LONG DELAY,NULL,Unknown
ORD10147,09-12-2025,Delhi,Bicycle,RAINY,10.10,50,78,151,2,28,LONG DELAY,14.95,10+ km
ORD10148,11-02-2025,Delhi,Petrol Bike,RAINY,7.30,39,35,73,5,-4,ON TIME,10.00,5-10 km
ORD10149,11-20-2025,Bengaluru,Bicycle,RAINY,14.70,68,87,197,1,19,LONG DELAY,13.40,10+ km
ORD10150,11-08-2025,Bengaluru,EV Scooter,CLEAR,5.10,30,37,51,4,7,SLIGHT DELAY,10.00,5-10 km
ORD10151,20-11-2025,Bengaluru,Petrol Bike,TRAFFIC,8.00,42,46,80,5,4,SLIGHT DELAY,10.00,5-10 km
ORD10152,10-26-2025,Bengaluru,EV Scooter,RAINY,7.90,41,81,129,1,40,LONG DELAY,16.33,5-10 km
ORD10153,11-07-2025,Delhi,Petrol Bike,RAINY,1.60,16,12,16,NULL,-4,ON TIME,10.00,0-5 km
ORD10154,19-01-2026,Mumbai,Bicycle,CLEAR,2.80,21,19,28,5,-2,ON TIME,10.00,0-5 km
ORD10155,07-10-2025,Mumbai,Petrol Bike,CLEAR,1.60,16,15,16,5,-1,ON TIME,10.00,0-5 km
ORD10156,10-06-2025,Mumbai,Petrol Bike,RAINY,6.50,36,40,65,5,4,SLIGHT DELAY,10.00,5-10 km
ORD10157,09-05-2025,Delhi,EV Scooter,TRAFFIC,9.20,46,61,92,4,15,SLIGHT DELAY,10.00,5-10 km
ORD10158,10-14-2025,Delhi,Bicycle,TRAFFIC,3.10,22,24,31,4,2,SLIGHT DELAY,10.00,0-5 km
ORD10159,17-12-2025,Delhi,EV Scooter,TRAFFIC,8.00,42,52,80,4,10,SLIGHT DELAY,10.00,5-10 km
ORD10160,01-22-2026,Delhi,Petrol Bike,TRAFFIC,5.40,31,31,54,5,0,ON TIME,10.00,5-10 km
ORD10161,02-22-2026,Delhi,Petrol Bike,TRAFFIC,3.70,24,26,37,5,2,SLIGHT DELAY,10.00,0-5 km
ORD10162,02-24-2026,Bengaluru,Petrol Bike,RAINY,8.80,45,68,138,2,23,LONG DELAY,15.68,5-10 km
ORD10163,11-28-2025,Delhi,EV Scooter,RAINY,1.60,16,58,66,2,42,LONG DELAY,41.25,0-5 km
ORD10164,16-01-2026,Mumbai,Bicycle,RAINY,2.90,21,23,29,4,2,SLIGHT DELAY,10.00,0-5 km
ORD10165,12-15-2025,Mumbai,EV Scooter,RAINY,1.10,14,51,61,2,37,LONG DELAY,55.45,0-5 km
ORD10166,11-13-2025,Delhi,EV Scooter,CLEAR,10.10,50,72,151,1,22,LONG DELAY,14.95,10+ km
ORD10167,10-16-2025,Bengaluru,Petrol Bike,TRAFFIC,3.60,24,28,36,4,4,SLIGHT DELAY,10.00,0-5 km
ORD10168,12-26-2025,Mumbai,Bicycle,TRAFFIC,13.40,63,82,184,1,19,LONG DELAY,13.73,10+ km
ORD10169,12-27-2025,Delhi,EV Scooter,CLEAR,11.30,55,79,163,1,24,LONG DELAY,14.42,10+ km
ORD10170,12-13-2025,Mumbai,Petrol Bike,CLEAR,NULL,36,34,66,5,-2,ON TIME,NULL,Unknown
ORD10171,08-12-2025,Delhi,Petrol Bike,RAINY,5.20,30,25,52,NULL,-5,ON TIME,10.00,5-10 km
ORD10172,18-11-2025,Delhi,Bicycle,RAINY,10.70,52,76,157,1,24,LONG DELAY,14.67,10+ km
ORD10173,02-03-2026,Delhi,Bicycle,TRAFFIC,11.60,56,77,166,1,21,LONG DELAY,14.31,10+ km
ORD10174,02-12-2025,Mumbai,EV Scooter,CLEAR,12.60,60,81,176,2,21,LONG DELAY,13.97,10+ km
ORD10175,22-02-2026,Mumbai,Petrol Bike,CLEAR,13.60,64,93,186,2,29,LONG DELAY,13.68,10+ km
ORD10176,12-28-2025,Bengaluru,Bicycle,CLEAR,6.50,36,31,65,4,-5,ON TIME,10.00,5-10 km
ORD10177,01-17-2026,Bengaluru,Petrol Bike,CLEAR,5.00,30,30,50,5,0,ON TIME,10.00,0-5 km
ORD10178,12-24-2025,Mumbai,Petrol Bike,CLEAR,10.60,52,71,156,1,19,LONG DELAY,14.72,10+ km
ORD10179,10-03-2025,Bengaluru,EV Scooter,CLEAR,14.70,68,97,197,2,29,LONG DELAY,13.40,10+ km
ORD10180,28-11-2025,Bengaluru,Bicycle,CLEAR,1.50,16,24,15,4,8,SLIGHT DELAY,10.00,0-5 km
ORD10181,31-01-2026,Mumbai,Bicycle,CLEAR,4.40,27,23,44,4,-4,ON TIME,10.00,0-5 km
ORD10182,10-06-2025,Bengaluru,EV Scooter,RAINY,9.10,46,90,141,2,44,LONG DELAY,15.49,5-10 km
ORD10183,12-01-2026,Bengaluru,Petrol Bike,CLEAR,8.80,45,65,138,NULL,20,LONG DELAY,15.68,5-10 km
ORD10184,02-12-2026,Delhi,Bicycle,RAINY,10.70,52,80,157,2,28,LONG DELAY,14.67,10+ km
ORD10185,01-03-2026,Mumbai,EV Scooter,TRAFFIC,14.50,68,87,195,2,19,LONG DELAY,13.45,10+ km
ORD10186,04-12-2025,Delhi,EV Scooter,CLEAR,4.80,29,25,48,4,-4,ON TIME,10.00,0-5 km
ORD10187,11-25-2025,Bengaluru,EV Scooter,RAINY,14.50,68,91,195,1,23,LONG DELAY,13.45,10+ km
ORD10188,12-11-2025,Mumbai,Petrol Bike,RAINY,6.30,35,41,63,5,6,SLIGHT DELAY,10.00,5-10 km
ORD10189,12-30-2025,Bengaluru,EV Scooter,RAINY,5.40,31,52,104,NULL,21,LONG DELAY,19.26,5-10 km
ORD10190,01-28-2026,Mumbai,Petrol Bike,RAINY,3.70,24,26,37,5,2,SLIGHT DELAY,10.00,0-5 km
ORD10191,26-11-2025,Delhi,Petrol Bike,TRAFFIC,7.50,40,46,75,5,6,SLIGHT DELAY,10.00,5-10 km
ORD10192,02-12-2026,Mumbai,EV Scooter,CLEAR,14.20,66,82,192,NULL,16,LONG DELAY,13.52,10+ km
ORD10193,10-26-2025,Bengaluru,EV Scooter,TRAFFIC,10.20,50,999,152,NULL,949,LONG DELAY,14.90,10+ km
ORD10194,01-16-2026,Bengaluru,Bicycle,TRAFFIC,12.30,59,79,173,1,20,LONG DELAY,14.07,10+ km
ORD10195,11-04-2025,Bengaluru,Petrol Bike,CLEAR,6.20,34,41,62,4,7,SLIGHT DELAY,10.00,5-10 km
ORD10196,09-21-2025,Delhi,Bicycle,CLEAR,2.30,19,26,23,4,7,SLIGHT DELAY,10.00,0-5 km
ORD10197,12-21-2025,Bengaluru,Bicycle,CLEAR,13.50,64,80,185,2,16,LONG DELAY,13.70,10+ km
ORD10198,02-23-2026,Mumbai,Bicycle,CLEAR,3.50,24,999,85,1,975,LONG DELAY,24.29,0-5 km
ORD10199,12-11-2025,Bengaluru,EV Scooter,RAINY,8.90,45,77,139,2,32,LONG DELAY,15.62,5-10 km
ORD10200,02-24-2026,Mumbai,Bicycle,RAINY,1.80,17,25,18,5,8,SLIGHT DELAY,10.00,0-5 km
ORD10201,10-02-2026,Mumbai,Petrol Bike,RAINY,6.00,34,41,60,NULL,7,SLIGHT DELAY,10.00,5-10 km
ORD10202,11-03-2025,Bengaluru,Petrol Bike,RAINY,6.30,35,34,63,NULL,-1,ON TIME,10.00,5-10 km
ORD10203,12-23-2025,Bengaluru,EV Scooter,RAINY,2.20,18,51,72,2,33,LONG DELAY,32.73,0-5 km
ORD10204,20-01-2026,Mumbai,Petrol Bike,TRAFFIC,1.20,14,22,12,4,8,SLIGHT DELAY,10.00,0-5 km
ORD10205,07-12-2025,Bengaluru,Petrol Bike,RAINY,7.90,41,38,79,5,-3,ON TIME,10.00,5-10 km
ORD10206,11-04-2025,Delhi,Bicycle,TRAFFIC,9.30,47,68,143,1,21,LONG DELAY,15.38,5-10 km
ORD10207,02-06-2026,Delhi,Petrol Bike,TRAFFIC,5.70,32,31,57,4,-1,ON TIME,10.00,5-10 km
ORD10208,12-11-2025,Bengaluru,Bicycle,TRAFFIC,14.50,68,90,195,2,22,LONG DELAY,13.45,10+ km
ORD10209,10-22-2025,Mumbai,EV Scooter,CLEAR,14.30,67,96,193,2,29,LONG DELAY,13.50,10+ km
ORD10210,12-14-2025,Bengaluru,Bicycle,RAINY,4.40,27,26,44,4,-1,ON TIME,10.00,0-5 km
ORD10211,01-28-2026,Mumbai,Bicycle,TRAFFIC,8.60,44,70,136,1,26,LONG DELAY,15.81,5-10 km
ORD10212,02-18-2026,Delhi,Bicycle,CLEAR,8.90,45,72,139,2,27,LONG DELAY,15.62,5-10 km
